Date,State,Dead,Injured,Total,Description
14/09/2019,California,1,4,5,"An argument escalated between two men outside a Laurel District bar, leading to a man killed and three men and a woman injured."
13/09/2019,Ohio,0,4,4,A feud between two men led to four people being injured after it escalated in the North Fairmont neighborhood.
12/09/2019,New Mexico,1,3,4,One person was killed and three others injured at a local apartment complex.
12/09/2019,New Mexico,4,2,6,"Two adults, a 16-year-old girl, and a 17-year-old boy were killed and two others injured in a mobile home park."
10/09/2019,Illinois,0,4,4,Three young adult males and a 17-year-old boy were injured in the back of a house in the West Town neighborhood.
08/09/2019,Louisiana,1,3,4,A woman shot and killed one woman and injured three others after a continuation of an argument escalated.
08/09/2019,South Carolina,2,3,5,"Two men were killed and three other individuals injured at a local convenience store, in the early morning."
07/09/2019,North Carolina,3,1,4,"A husband, wife and their five-year-old son were killed while the grandmother was injured in a targeted attack."
04/09/2019,Louisiana,2,2,4,"A man and a seven-year-old girl were killed, and another man and a 11-year-old boy were injured after an argument apparently escalated."
04/09/2019,Florida,0,4,4,Three adults and a child were wounded in a shooting.
02/09/2019,Alabama,5,0,5,A 14-year-old boy shot dead five family members – two adults and three children – in an Alabama residence. He confessed the crime to the police.
02/09/2019,Illinois,0,4,4,Four men were wounded in a drive-by shooting outside of a CTA Green Line station in Washington Park.
02/09/2019,North Carolina,2,2,4,Two men were killed and a woman and small child injured during a home invasion.
01/09/2019,North Carolina,0,4,4,Four people were shot at a private party at a Moose Lodge.
01/09/2019,Alabama,0,7,7,Six adult males and a 15-year-old boy were wounded outside a kindergarten after an argument over a Lanett vs. Lafayette football game escalated.
01/09/2019,Connecticut,0,4,4,Three men and a 17-year-old boy were wounded in a shooting.
01/09/2019,Ohio,0,4,4,Four people were found shot in the early morning.
31/08/2019,Texas,8,25,33,"Midland–Odessa shooting: Eight people were killed, including the perpetrator, and 25 were wounded when a gunman opened fire on police and civilians after fleeing from a traffic stop."
31/08/2019,North Carolina,1,3,4,A man was killed and three others were injured at a University of North Carolina at Charlotte off-campus apartment complex.
31/08/2019,Maryland,0,4,4,Four people were injured after an argument escalated.
30/08/2019,Alabama,0,10,10,"Ten people, ranging in age from 15 to 18, were injured at a high school football game after a fight escalated."
30/08/2019,Maryland,1,3,4,A woman was killed and three others were injured in a possible retaliation to a previous stabbing.
29/08/2019,Maryland,1,3,4,"A 16-year-old boy was killed, while two teen boys – a 14-year-old and 15-year-old – and an adult woman were injured."
26/08/2019,Florida,4,0,4,"A man killed his wife, mother-in-law, and one of his three-year-old twin daughters before committing suicide."
25/08/2019,Illinois,1,3,4,A 17-year-old boy was killed and three adults were wounded after a large group was fired upon.
25/08/2019,New Mexico,3,4,7,Police responded to a party due to a shots fired call and found three dead and four wounded.
24/08/2019,Massachusetts,1,3,4,A man was killed and three were injured while attending a basketball tournament.
24/08/2019,Florida,2,3,5,"Two people were killed and three were injured, including a police officer, in a shooting. A suspect was apprehended."
24/08/2019,Maryland,0,7,7,Seven people were wounded at a two-year-old's birthday party after a fight escalated.
23/08/2019,Missouri,1,3,4,An eight-year-old girl was killed and three others were wounded in a shooting near Soldan High School.
23/08/2019,Texas,2,2,4,Two men were killed and a man and woman were injured in a drive-by shooting.
22/08/2019,South Carolina,2,2,4,"A man opened fire on patrons at a bar, killing two and wounding two others, after being kicked out."
22/08/2019,California,0,4,4,"Four people, including a social worker and a security guard were wounded in the Skid Row district."
20/08/2019,Georgia,0,4,4,Four female students from Clark Atlanta University and Spelman College were wounded during a block party.
18/08/2019,Missouri,0,4,4,Four teenagers were wounded after an argument escalated during a gathering in a hotel room.
17/08/2019,Texas,0,7,7,Seven people were injured in a shooting at a party.
17/08/2019,Missouri,0,4,4,Police responded to a shooting call and discovered four people wounded.
17/08/2019,Virginia,1,3,4,"A woman was killed, and responding officers engaged with the suspect causing an officer, bystander and the suspect to be wounded."
15/08/2019,Pennsylvania,0,5,5,Four men and a teenage boy were wounded.
15/08/2019,Alabama,2,3,5,Two people were killed and three wounded in a shooting near Alabama State University.
14/08/2019,West Virginia,1,5,6,A man killed his girlfriend and injured five others and a dog before being wounded by police and arrested.
14/08/2019,Pennsylvania,0,6,6,Six Philadelphia Police officers were shot during an eight-hour standoff while attempting to serve a drug warrant.
13/08/2019,Washington,2,3,5,Police responded to calls of shots fired and found a deceased male and three women wounded. One died at the hospital from their injuries.
13/08/2019,Mississippi,0,4,4,Four people were wounded in a shooting.
12/08/2019,California,2,2,4,A police officer was killed and two were wounded after a suspect opened fire during a traffic stop. The suspect was killed by police.
12/08/2019,North Carolina,3,1,4,"A man shot and killed his estranged wife and a man, then wounded another man before committing suicide."
11/08/2019,Illinois,0,6,6,Six people were injured when they were shot by a gunman in a car in Garfield Park.
10/08/2019,California,0,4,4,Four people were injured in an overnight shooting in the parking lot of a McDonald's restaurant.
10/08/2019,Virginia,0,4,4,Four people were injured in a shooting.
09/08/2019,Texas,0,4,4,Four men were injured during a shoot-out at a convenience store.
09/08/2019,Illinois,0,4,4,Four people were injured in a drive-by shooting in Marquette Park.
08/08/2019,New Jersey,1,3,4,A gunman wearing body armor killed another man and wounded three responding police officers before being arrested.
07/08/2019,Missouri,2,2,4,Two people were killed and two were injured in a shooting that also involved a motor vehicle crash.
06/08/2019,Georgia,4,0,4,"A man killed two women and a man, before killing himself in a triple murder–suicide."
06/08/2019,Michigan,0,4,4,Four people were shot and injured after a dispute.
05/08/2019,Texas,4,0,4,"A man killed his uncle, grandmother and mother before he set the house on fire and committed suicide in a triple murder–suicide."
05/08/2019,Maryland,1,3,4,One person was killed and three were wounded after a large fight broke out following a funeral service.
05/08/2019,New York,0,4,4,Four people were injured in a shooting during a candlelight vigil in Crown Heights.
04/08/2019,Tennessee,1,3,4,One man was killed and three others were injured in an early morning shooting.
04/08/2019,Mississippi,0,4,4,Four people were discovered wounded in an overnight shooting.
04/08/2019,Illinois,1,7,8,One person was killed and seven others were injured in a shooting in the Lawndale community.
04/08/2019,Illinois,0,7,7,Seven people were wounded in a drive-by shooting near Douglass Park.
04/08/2019,Ohio,10,27,37,"2019 Dayton shooting: A gunman killed nine people and injured 27 outside of a bar after he was denied entry, before being killed by police."
03/08/2019,Texas,23,23,46,2019 El Paso shooting: 23 people were killed and 23 were injured at a Walmart near the Cielo Vista Mall in a Hispanophobic massacre. The perpetrator was taken into custody.
02/08/2019,Maryland,3,1,4,"A man shot and killed his in-laws, and wounded an 11-year-old boy sitting in a relative's car before committing suicide."
02/08/2019,Virginia,2,3,5,"Two men were killed, and two women and a two-year-old were wounded at multiple crime scenes."
31/07/2019,Indiana,3,1,4,"Police responding to shots fired at a senior living complex discovered a wounded woman, and two males and a woman deceased. It is believed one of the deceased males was the shooter."
30/07/2019,Mississippi,2,2,4,"At a Walmart store, a man killed two people then wounded a police officer before being shot by police and arrested."
30/07/2019,Oklahoma,0,4,4,"During an attempted home invasion, shots were fired and four people were wounded."
30/07/2019,Texas,3,1,4,"A man shot and killed his ex-girlfriends parents, and wounded her, before committing suicide in a murder–suicide."
30/07/2019,Ohio,0,5,5,Five people were shot at a party at a home rented through Airbnb.
28/07/2019,Wisconsin,5,2,7,"A gunman shot six people, four fatally, before killing himself."
28/07/2019,California,4,17,21,"Gilroy Garlic Festival shooting: Sixteen people were shot, four fatally, including a gunman and two children, at the Gilroy Garlic Festival."
28/07/2019,Pennsylvania,0,4,4,Four people were wounded on two separate streets in connection with a large party.
28/07/2019,Pennsylvania,1,5,6,One man was killed and five were injured by an unknown perpetrator as the victims were preparing to shoot a rap video.
28/07/2019,Illinois,0,4,4,One woman and three men were wounded in a drive-by shooting outside of a Lawndale gas station.
28/07/2019,"Washington, D.C.",0,4,4,Four people were shot and injured while standing outside of a bar/nightclub.
27/07/2019,Kansas,1,3,4,One man was killed and three were injured after an altercation at an apartment complex. The suspect was later arrested.
27/07/2019,New York,1,12,13,"Thirteen people were shot, one fatally, at a playground in Brownsville."
